시도,시군구,구분,2014,,,,,,,,,,,,,,,,,,,,2015,,,,,,,,,,,,,,,,,,2016,,,,,,,,,,,,,,,,,,,,2017,,,,,,,,,,,,,,,,,,,,,,,2018,,,,,,,,,,,,,,,,,,,,,
,,,합계,차대사람,,,,,,차대차,,,,,차량단독,,,,,,철길건널목,,합계,차대사람,,,,,,차대차,,,,,차량단독,,,,,,합계,차대사람,,,,,,차대차,,,,,차량단독,,,,,,철길건널목,,합계,차대사람,,,,,,차대차,,,,,,차량단독,,,,,,,,철길건널목,,합계,차대사람,,,,,,차대차,,,,,,차량단독,,,,,,,철길건널목,
,,,합계,합계,횡단중,차도통행중,길가장자리구역통행중,보도통행중,기타,합계,정면충돌,측면충돌,추돌,기타,합계,공작물충돌,주/정차차량 충돌,도로이탈,기타,전도전복,합계,기타,합계,합계,횡단중,차도통행중,길가장자리구역통행중,보도통행중,기타,합계,정면충돌,측면충돌,추돌,기타,합계,공작물충돌,주/정차차량 충돌,도로이탈,기타,전도전복,합계,합계,횡단중,차도통행중,길가장자리구역통행중,보도통행중,기타,합계,정면충돌,측면충돌,추돌,기타,합계,공작물충돌,주/정차차량 충돌,도로이탈,기타,전도전복,합계,기타,합계,합계,횡단중,차도통행중,길가장자리구역통행중,보도통행중,기타,합계,후진중충돌,정면충돌,측면충돌,추돌,기타,합계,공작물충돌,주/정차차량 충돌,도로이탈,기타,전도,전복,전도전복,합계,철길건널목,합계,합계,횡단중,차도통행중,길가장자리구역통행중,보도통행중,기타,합계,후진중충돌,정면충돌,측면충돌,추돌,기타,합계,공작물충돌,주/정차차량 충돌,도로이탈,기타,전도,전복,합계,철길건널목
합계,합계,사고건수,33170,10726,3802,757,588,429,5150,20337,803,7697,4455,7382,2106,445,8,172,1146,335,1,1,36053,11461,4997,1041,992,575,3856,22271,2087,9311,5197,5676,2321,545,1,223,1080,472,35761,11337,6425,917,815,364,2816,22216,2861,11064,4759,3532,2206,274,2,70,912,948,2,2,37555,11882,6575,1074,737,382,3114,23493,172,2206,12064,4516,4535,2177,326,2,92,1004,349,29,375,3,3,38647,11720,5014,1383,821,513,3989,24555,217,1161,12719,4862,5596,2371,616,1,228,1148,316,62,1,1
,,사망자수,1815,898,450,72,42,24,310,649,63,225,132,229,268,76,5,52,64,71,0,0,1814,897,507,95,73,26,196,694,102,255,159,178,223,79,0,43,27,74,1732,849,594,81,37,15,122,648,108,305,128,107,235,43,0,12,26,154,0,0,1767,884,555,103,44,24,158,662,6,93,328,142,93,220,46,1,26,28,51,7,61,1,1,1682,823,486,109,47,28,153,583,2,79,265,131,106,275,107,0,60,52,44,12,1,1
,,부상자수,35352,9972,3390,690,557,410,4925,23143,983,8698,5284,8178,2236,518,8,190,1144,376,1,1,38582,10730,4557,965,932,559,3717,25375,2442,10479,6159,6295,2477,644,1,275,1089,468,38413,10652,5913,848,794,352,2745,25392,3343,12527,5717,3805,2366,332,2,94,948,990,3,3,40579,11188,6118,983,708,370,3009,27108,182,2628,13790,5537,4971,2280,378,1,93,1009,392,35,372,3,3,41833,11068,4589,1288,786,494,3911,28318,234,1391,14561,5898,6234,2447,677,1,240,1161,299,69,0,0
,,중상자수,16799,6641,2477,479,318,263,3104,8939,473,3494,1592,3380,1218,280,5,111,612,210,1,1,17667,6997,3234,633,560,357,2213,9294,996,4019,1861,2418,1376,351,0,184,603,238,16938,6824,4087,536,455,204,1542,8862,1305,4589,1588,1380,1249,163,1,45,509,531,3,3,17543,7057,4168,605,392,222,1670,9291,53,1072,4926,1538,1702,1194,194,0,48,507,205,24,216,1,1,17076,6855,3148,765,409,295,2238,8991,61,635,4897,1390,2008,1230,362,0,136,566,130,36,0,0
,,경상자수,16653,2981,831,194,217,133,1606,12827,453,4705,3399,4270,845,199,2,71,454,119,0,0,18543,3345,1205,304,322,188,1326,14301,1287,5772,3934,3308,897,235,0,78,416,168,19203,3422,1661,281,302,131,1047,14881,1837,7119,3797,2128,900,134,1,38,366,361,0,0,20796,3713,1762,350,286,133,1182,16199,119,1411,8013,3719,2937,882,139,1,30,446,138,9,119,2,2,22298,3812,1331,476,342,184,1479,17503,167,698,8719,4179,3740,983,253,1,76,499,130,24,0,0
,,부상신고자수,1900,350,82,17,22,14,215,1377,57,499,293,528,173,39,1,8,78,47,0,0,2372,388,118,28,50,14,178,1780,159,688,364,569,204,58,1,13,70,62,2272,406,165,31,37,17,156,1649,201,819,332,297,217,35,0,11,73,98,0,0,2240,418,188,28,30,15,157,1618,10,145,851,280,332,204,45,0,15,56,49,2,37,0,0,2459,401,110,47,35,15,194,1824,6,58,945,329,486,234,62,0,28,96,39,9,0,0
서울,합계,사고건수,5009,2107,758,137,113,104,995,2683,68,1018,723,874,219,18,3,1,191,6,,,5388,2293,918,212,194,126,843,2874,146,1234,793,701,221,37,,5,168,11,5219,2224,1012,272,180,87,673,2785,227,1226,723,609,210,15,,2,167,26,,,5357,2229,1021,287,127,118,676,2905,23,322,1214,652,694,223,16,,,194,9,,4,,,5761,2264,914,272,153,128,797,3242,21,122,1476,852,771,255,22,,1,220,10,2,,
,,사망자수,136,98,51,7,4,2,34,34,6,10,3,15,4,2,1,0,1,0,,,139,101,60,11,7,2,21,31,2,16,4,9,7,4,,0,3,0,128,93,55,17,2,2,17,29,3,16,5,5,6,3,,0,2,1,,,139,102,54,22,0,5,21,33,0,5,15,5,8,4,3,,,0,1,,0,,,121,96,54,12,3,10,17,21,0,5,8,3,5,4,2,,0,2,0,0,,
,,부상자수,5112,2033,710,130,111,106,976,2861,72,1068,802,919,218,17,2,1,192,6,,,5575,2217,867,206,188,127,829,3138,155,1318,913,752,220,37,,5,167,11,5376,2161,969,257,184,86,665,3002,249,1293,821,639,213,16,,2,167,28,,,5570,2159,981,268,128,118,664,3187,24,347,1314,749,753,224,14,,,198,8,,4,,,5989,2189,870,262,151,119,787,3541,21,131,1588,970,831,259,23,,1,223,10,2,,
,,중상자수,2211,1272,508,85,53,59,567,841,31,332,170,308,98,8,1,0,85,4,,,2361,1344,579,124,102,73,466,913,56,389,194,274,104,15,,2,85,2,2126,1252,632,161,90,45,324,780,83,379,148,170,94,3,,2,80,9,,,2141,1263,646,157,58,67,335,791,4,109,343,127,208,87,2,,,80,2,,3,,,2151,1251,580,142,53,63,413,789,4,45,370,164,206,111,9,,0,96,4,2,,
