시도,시군구,구분,2014,,,,,,,,,,,,,2015,,,,,,,,,,,,,2016,,,,,,,,,,,,,2017,,,,,,,,,,,,,2018,,,,,,,,,,,,
,,,합계,0시~2시,2시~4시,4시~6시,6시~8시,8시~10시,10시~12시,12시~14시,14시~16시,16시~18시,18시~20시,20시~22시,22시~24시,합계,0시~2시,2시~4시,4시~6시,6시~8시,8시~10시,10시~12시,12시~14시,14시~16시,16시~18시,18시~20시,20시~22시,22시~24시,합계,0시~2시,2시~4시,4시~6시,6시~8시,8시~10시,10시~12시,12시~14시,14시~16시,16시~18시,18시~20시,20시~22시,22시~24시,합계,0시~2시,2시~4시,4시~6시,6시~8시,8시~10시,10시~12시,12시~14시,14시~16시,16시~18시,18시~20시,20시~22시,22시~24시,합계,0시~2시,2시~4시,4시~6시,6시~8시,8시~10시,10시~12시,12시~14시,14시~16시,16시~18시,18시~20시,20시~22시,22시~24시
합계,합계,사고건수,33170,482,378,1201,2378,4053,4888,4302,4655,4400,3748,1753,932,36053,577,386,1189,2542,4550,5379,4688,4991,4885,3940,1942,984,35761,548,388,1261,2631,4424,5315,4655,5031,4690,3927,1962,929,37555,590,398,1320,2634,4720,5625,5043,5270,4970,4013,2027,945,38647,701,462,1390,2712,4856,5756,4989,5296,5235,4100,2089,1061
,,사망자수,1815,25,15,118,190,160,219,203,212,200,289,120,64,1814,17,25,127,187,174,236,197,182,203,276,127,63,1732,26,25,128,160,179,237,174,192,177,234,149,51,1767,24,30,138,180,182,213,175,207,190,255,116,57,1682,27,23,136,181,138,200,187,189,187,220,138,56
,,부상자수,35352,473,377,1219,2497,4434,5332,4755,5019,4725,3843,1760,918,38582,590,380,1189,2673,4941,5827,5225,5450,5262,4087,1958,1000,38413,550,384,1262,2787,4809,5781,5165,5598,5093,4064,1973,947,40579,592,393,1337,2757,5119,6222,5680,5811,5470,4142,2129,927,41833,711,467,1407,2850,5336,6455,5617,5799,5692,4305,2138,1056
,,중상자수,16799,161,134,653,1212,2135,2580,2279,2382,2223,1847,807,386,17667,212,143,614,1346,2291,2718,2385,2485,2334,1897,873,369,16938,167,143,643,1387,2197,2543,2246,2408,2149,1832,867,356,17543,193,142,651,1316,2329,2707,2378,2400,2366,1822,898,341,17076,199,152,638,1306,2199,2655,2310,2311,2250,1848,871,337
,,경상자수,16653,279,219,516,1147,2091,2465,2210,2340,2234,1800,867,485,18543,353,227,512,1199,2331,2793,2510,2581,2564,1933,968,572,19203,352,219,561,1266,2318,2894,2614,2862,2602,1989,995,531,20796,363,232,624,1300,2491,3177,2974,3071,2819,2070,1129,546,22298,475,291,681,1410,2824,3461,2958,3120,3048,2217,1147,666
,,부상신고자수,1900,33,24,50,138,208,287,266,297,268,196,86,47,2372,25,10,63,128,319,316,330,384,364,257,117,59,2272,31,22,58,134,294,344,305,328,342,243,111,60,2240,36,19,62,141,299,338,328,340,285,250,102,40,2459,37,24,88,134,313,339,349,368,394,240,120,53
서울,합계,사고건수,5009,164,122,281,367,545,612,606,606,656,506,309,235,5388,192,128,275,378,579,703,608,669,693,526,388,249,5219,172,124,303,387,527,704,639,650,629,515,328,241,5357,174,129,274,387,585,710,615,723,669,545,333,213,5761,232,137,311,398,593,775,665,751,731,548,376,244
,,사망자수,136,2,4,18,25,11,15,14,16,13,9,5,4,139,2,7,23,16,9,17,10,9,16,8,15,7,128,4,2,18,13,15,13,11,12,16,8,10,6,139,3,7,15,10,14,17,14,19,10,13,10,7,121,6,1,21,17,10,16,9,11,7,10,10,3
,,부상자수,5112,165,123,274,356,564,631,619,617,687,521,319,236,5575,197,121,270,389,597,727,643,700,713,552,397,269,5376,172,131,300,392,531,736,657,693,645,537,332,250,5570,182,132,277,403,616,740,647,753,698,561,346,215,5989,234,144,310,413,621,817,703,784,761,568,387,247
,,중상자수,2211,50,39,143,153,248,304,273,267,293,219,131,91,2361,62,45,130,171,253,332,267,311,320,233,151,86,2126,48,38,132,168,205,304,273,255,272,215,125,91,2141,54,39,131,172,234,295,251,250,282,219,139,75,2151,58,34,121,154,209,296,275,291,270,224,147,72
