시도,시군구,구분,2014,,,,,,,,,,,,,2015,,,,,,,,,,,,,2016,,,,,,,,,,,,,2017,,,,,,,,,,,,,2018,,,,,,,,,,,,
,,,합계,01월,02월,03월,04월,05월,06월,07월,08월,09월,10월,11월,12월,합계,01월,02월,03월,04월,05월,06월,07월,08월,09월,10월,11월,12월,합계,01월,02월,03월,04월,05월,06월,07월,08월,09월,10월,11월,12월,합계,01월,02월,03월,04월,05월,06월,07월,08월,09월,10월,11월,12월,합계,01월,02월,03월,04월,05월,06월,07월,08월,09월,10월,11월,12월
합계,합계,사고건수,33170,2337,1969,2519,2721,3160,2619,2746,2919,3000,3414,3220,2546,36053,2445,2219,2906,2893,3308,2799,3042,3159,3423,3676,3262,2921,35761,2523,2381,2856,3060,3309,2970,3044,3130,2898,3448,3210,2932,37555,2765,2423,2992,3058,3305,3203,2955,3268,3599,3537,3498,2952,38647,2776,2726,2933,3126,3352,3203,3330,3328,3462,3827,3491,3093
,,사망자수,1815,158,127,113,122,162,125,144,130,172,194,210,158,1814,134,100,155,130,153,146,127,158,165,201,178,167,1732,125,105,123,133,144,129,139,138,143,194,190,169,1767,156,124,109,119,159,123,129,155,191,170,186,146,1682,136,118,137,129,127,118,142,156,158,183,137,141
,,부상자수,35352,2426,2065,2698,2960,3351,2771,2988,3116,3181,3704,3379,2713,38582,2601,2368,3058,3169,3607,2997,3250,3405,3669,3919,3494,3045,38413,2701,2522,3089,3346,3539,3272,3264,3356,3129,3710,3397,3088,40579,2908,2552,3235,3420,3547,3508,3271,3549,3877,3840,3748,3124,41833,2941,2917,3138,3398,3678,3496,3673,3583,3724,4148,3832,3305
,,중상자수,16799,1228,1025,1274,1440,1571,1354,1420,1422,1515,1819,1550,1181,17667,1226,1122,1453,1424,1698,1326,1449,1518,1687,1839,1523,1402,16938,1232,1135,1362,1486,1588,1370,1385,1508,1317,1673,1532,1350,17543,1309,1110,1444,1510,1572,1473,1363,1529,1676,1636,1587,1334,17076,1209,1254,1297,1322,1532,1419,1452,1499,1487,1693,1621,1291
,,경상자수,16653,1090,932,1284,1377,1562,1267,1409,1515,1488,1687,1652,1390,18543,1217,1116,1440,1549,1686,1479,1609,1650,1717,1860,1778,1442,19203,1327,1265,1519,1647,1739,1691,1689,1653,1613,1824,1690,1546,20796,1429,1336,1608,1724,1785,1836,1704,1805,1964,1984,1981,1640,22298,1576,1499,1662,1873,1942,1867,2014,1889,1986,2195,1989,1806
,,부상신고자수,1900,108,108,140,143,218,150,159,179,178,198,177,142,2372,158,130,165,196,223,192,192,237,265,220,193,201,2272,142,122,208,213,212,211,190,195,199,213,175,192,2240,170,106,183,186,190,199,204,215,237,220,180,150,2459,156,164,179,203,204,210,207,195,251,260,222,208
서울,합계,사고건수,5009,344,292,413,417,419,406,403,463,430,496,504,422,5388,399,368,471,424,466,398,460,473,468,530,479,452,5219,395,389,451,446,487,419,439,402,409,494,440,448,5357,438,378,447,412,449,463,445,466,475,483,457,444,5761,454,469,468,470,474,469,504,460,511,514,502,466
,,사망자수,136,15,7,6,12,11,12,12,7,9,14,17,14,139,17,14,9,10,7,7,8,6,13,16,18,14,128,11,13,9,6,12,6,11,7,11,17,16,9,139,13,9,11,6,8,14,11,10,13,14,14,16,121,16,11,10,9,4,5,9,13,8,11,12,13
,,부상자수,5112,348,302,422,421,426,410,416,482,451,504,504,426,5575,404,371,488,449,487,417,486,498,491,540,487,457,5376,407,394,463,467,502,437,444,412,426,505,446,473,5570,455,391,454,434,462,480,471,489,495,498,480,461,5989,467,481,493,488,499,494,530,476,536,532,517,476
,,중상자수,2211,151,129,198,184,172,171,174,216,197,231,220,168,2361,183,162,215,200,202,188,202,210,191,213,202,193,2126,179,165,189,183,200,182,158,152,163,188,170,197,2141,191,156,184,158,170,181,162,188,180,195,202,174,2151,175,201,188,176,176,190,174,158,183,176,189,165
