,광역시도,시도,20-39세남자,20-39세여자,20-39세합계,65세이상남자,65세이상여자,65세이상합계,인구수남자,인구수여자,인구수합계,소멸비율,소멸위기지역
0,강원도,강릉시,26286.0,23098.0,49384.0,15767.0,21912.0,37679.0,106231.0,107615.0,213846.0,1.2260410308129197,False
1,강원도,고성군,4494.0,2529.0,7023.0,2900.0,4251.0,7151.0,15899.0,14215.0,30114.0,0.7073136624248357,True
2,강원도,동해시,11511.0,9753.0,21264.0,6392.0,8732.0,15124.0,47166.0,46131.0,93297.0,1.2897381645067443,False
3,강원도,삼척시,8708.0,7115.0,15823.0,5892.0,8718.0,14610.0,35253.0,34346.0,69599.0,0.973990417522245,True
4,강원도,속초시,9956.0,8752.0,18708.0,5139.0,7613.0,12752.0,40288.0,41505.0,81793.0,1.3726474278544543,False
5,강원도,양구군,4368.0,2481.0,6849.0,1650.0,2458.0,4108.0,12918.0,11092.0,24010.0,1.2078870496592016,False
6,강원도,양양군,2916.0,2171.0,5087.0,2988.0,3993.0,6981.0,13838.0,13380.0,27218.0,0.6219739292364991,True
7,강원도,영월군,4025.0,3134.0,7159.0,4215.0,5700.0,9915.0,20652.0,19421.0,40073.0,0.632173474533535,True
8,강원도,원주시,45755.0,43164.0,88919.0,17384.0,24862.0,42246.0,167854.0,170125.0,337979.0,2.0434597358329785,False
9,강원도,인제군,5512.0,3449.0,8961.0,2413.0,3189.0,5602.0,17677.0,15043.0,32720.0,1.2313459478757587,False
10,강원도,정선군,4138.0,3297.0,7435.0,3831.0,5177.0,9008.0,19975.0,18743.0,38718.0,0.7320159857904085,True
11,강원도,철원군,7918.0,4714.0,12632.0,3804.0,5308.0,9112.0,25429.0,22584.0,48013.0,1.0346795434591747,False
12,강원도,춘천시,37173.0,35422.0,72595.0,17259.0,24440.0,41699.0,138251.0,142456.0,280707.0,1.6989376244034629,False
